firm_id,year,ntoken,short_hits,long_hits,ShortTerm,ShortTerm_A,ShortTerm_B,LongTerm,RD_intensity,Size,ROA,Lev,Age,Growth,Cash,true_intensity,source
F0001,2019,183,9,5,49.1803,38.2514,10.929,27.3224,14.5228,25.0737,0.0524,0.9297,4.0,0.1983,0.1196,36.348,demo_synthetic
F0001,2020,184,9,5,48.913,32.6087,16.3043,27.1739,12.8736,23.2714,0.0903,0.6979,17.0,0.162,0.1146,42.108,demo_synthetic
F0001,2021,190,11,4,57.8947,47.3684,10.5263,21.0526,10.3387,23.0742,-0.005,0.7247,13.0,0.3414,0.033,46.956,demo_synthetic
F0001,2022,188,11,7,58.5106,42.5532,15.9574,37.234,8.8225,20.9318,-0.0037,0.5282,17.0,0.2089,0.0894,39.668,demo_synthetic
F0001,2023,182,8,6,43.956,32.967,10.989,32.967,9.6067,21.24,0.0742,0.5648,4.0,0.1069,-0.0069,48.965,demo_synthetic
F0002,2019,189,8,6,42.328,15.873,26.455,31.746,10.4194,24.222,0.0915,0.7221,24.0,-0.1151,0.0074,26.686,demo_synthetic
F0002,2020,184,3,10,16.3043,10.8696,5.4348,54.3478,15.5651,23.386,0.065,0.6189,12.0,0.2133,-0.0006,18.006,demo_synthetic
F0002,2021,183,6,10,32.7869,10.929,21.8579,54.6448,12.9314,22.419,-0.0062,0.05,7.0,0.2233,0.1107,22.325,demo_synthetic
F0002,2022,189,6,11,31.746,15.873,15.873,58.2011,14.7022,21.4829,0.0431,0.1154,15.0,0.2334,0.0942,17.766,demo_synthetic
F0002,2023,185,4,9,21.6216,10.8108,10.8108,48.6486,15.019,20.5623,0.0832,0.3636,9.0,0.2045,0.0567,18.633,demo_synthetic
F0003,2019,179,6,6,33.5196,16.7598,16.7598,33.5196,11.8872,21.3612,0.0533,0.5481,6.0,-0.1266,0.0983,35.45,demo_synthetic
F0003,2020,178,5,5,28.0899,16.8539,11.236,28.0899,15.0249,19.8592,0.0103,0.4693,11.0,0.4814,0.0479,41.293,demo_synthetic
F0003,2021,182,8,10,43.956,16.4835,27.4725,54.9451,14.6407,23.6474,0.0747,0.2538,11.0,0.0885,-0.0227,34.979,demo_synthetic
F0003,2022,178,4,4,22.4719,22.4719,0.0,22.4719,13.5478,21.3928,0.0397,0.3674,18.0,-0.0852,0.0661,34.181,demo_synthetic
F0003,2023,185,8,9,43.2432,21.6216,21.6216,48.6486,11.3604,22.9176,-0.0207,0.6922,9.0,0.2964,0.0588,30.89,demo_synthetic
F0004,2019,185,12,7,64.8649,37.8378,27.027,37.8378,10.043,21.9568,0.1347,0.3976,15.0,0.3145,0.0296,53.576,demo_synthetic
F0004,2020,176,4,7,22.7273,5.6818,17.0455,39.7727,15.2629,21.2275,0.0437,0.569,7.0,0.205,0.0717,47.121,demo_synthetic
F0004,2021,180,5,7,27.7778,5.5556,22.2222,38.8889,14.0127,23.318,0.1544,0.2919,2.0,-0.0526,0.0567,49.276,demo_synthetic
F0004,2022,179,7,3,39.1061,11.1732,27.933,16.7598,10.6501,21.6647,0.0922,0.7062,18.0,-0.1151,-0.0221,47.022,demo_synthetic
F0004,2023,182,9,4,49.4505,27.4725,21.978,21.978,9.2937,19.6902,0.0621,0.5818,7.0,0.1188,0.1039,42.764,demo_synthetic
F0005,2019,183,9,6,49.1803,43.7158,5.4645,32.7869,11.2889,22.7027,0.0799,0.3183,7.0,0.2378,0.0101,48.969,demo_synthetic
F0005,2020,180,7,6,38.8889,27.7778,11.1111,33.3333,12.0649,24.1361,-0.004,0.2635,19.0,-0.0522,0.1176,53.073,demo_synthetic
F0005,2021,180,11,3,61.1111,11.1111,50.0,16.6667,9.6513,22.0289,0.0663,0.2732,17.0,0.4837,0.0597,57.594,demo_synthetic
