variable,coef,std_err,t,p_value,model
Intercept,2.6587,0.8815,3.016,0.0027,M1(无FE)
ShortTerm,-0.1211,0.0026,-45.72,0.0,M1(无FE)
Size,0.6705,0.0393,17.067,0.0,M1(无FE)
ROA,8.5787,1.2472,6.878,0.0,M1(无FE)
Lev,-1.5695,0.2638,-5.949,0.0,M1(无FE)
Age,-0.0491,0.0068,-7.259,0.0,M1(无FE)
Growth,1.4751,0.2486,5.934,0.0,M1(无FE)
Cash,0.2143,0.9476,0.226,0.8211,M1(无FE)
Intercept,3.455,1.2028,2.872,0.0043,M2(公司+年度FE)
ShortTerm,-0.1198,0.0047,-25.654,0.0,M2(公司+年度FE)
Size,0.6555,0.0442,14.835,0.0,M2(公司+年度FE)
ROA,8.3435,1.3982,5.968,0.0,M2(公司+年度FE)
Lev,-1.5278,0.2989,-5.112,0.0,M2(公司+年度FE)
Age,-0.0476,0.0074,-6.433,0.0,M2(公司+年度FE)
Growth,1.5684,0.2808,5.585,0.0,M2(公司+年度FE)
Cash,-0.0797,1.0428,-0.076,0.9391,M2(公司+年度FE)
